id	scenario	trueself	ageCorrPilot	lonelinessCorrPilot	satisfactionCorrPilot	opennessCorrPilot	social_bonds	agency	travel	money_security	health	curiosity	convenience	aesthetics	ambition	happiness	need_for_understanding	stoicism	idealism	status_signalling	compassion	deontological_morality
1	Moving to a remote country that you have not visited before to accept a very well paid offer. You have 3 days to accept the offer.	“-”					 -- 	 ++	 ++	 ++	 - 	 + 	 -- 	 - 	 ++ 	 + 	 ++ 	 - 	 - 	 - 	 - 	 - 
2	Moving to a job 1200 miles away, to a city you visited only briefly. You will live in an unfamiliar area and have to find new hobbies and friends.	 					 -- 	 +	 ++ 	 +	 - 	 + 	 -- 	 - 	 ++ 	 - 	 ++ 	 - 	 + 	 + 	 + 	 - 
3	Taking up a job in Antarctica. You have to sign a (potentially renewable) contract for a year. 	“-”		“-”			 -- 	 + 	 ++ 	 +	 -	 + 	 -- 	 - 	 ++ 	 -- 	 ++ 	 - 	 - 	 ++ 	 + 	 - 
4	Selling or giving away all your belongings in order to move to a big city where you hope to become a writer.	“-”					 -- 	 - 	 ++ 	 -	N/A	 ++ 	 -- 	 + 	 ++ 	 + 	 + 	 - 	 ++ 	 -	 + 	 -
5	Becoming a volunteer primary school teacher in a remote village in the Andes, <br>where the nature is stunning yet there is no indoor plumbing, internet, or running water. 	 					 -- 	 -	 ++ 	 --	 - 	 + 	 -- 	 + 	 ++ 	 + 	 ++ 	 - 	 + 	 - 	 ++ 	 + 
6	Going on a two-month hiking trip in the Himalayas, with no previous experience with lengthy hiking trips.	 					 - 	 + 	 ++	 - 	 -- 	 + 	 - 	 ++ 	 + 	 + 	 + 	 - 	 ++ 	 + 	 - 	 - 
7	Starting your own business instead of continuing working where you are.	 					 - 	 ++ 	 -	 --	 - 	 + 	 - 	 + 	 ++ 	 + 	 + 	 + 	 - 	 ++ 	 - 	 - 
8	Ending a relationship that makes you unhappy, with no way of knowing if you'll be happier in the long run.	“-”		“-”			 - 	 + 	N/A	N/A	 ++ 	 + 	 + 	 + 	 + 	 ++ 	 + 	 + 	 + 	 + 	 + 	 + 
9	Moving to an isolated island where you'll live on savings for the rest of your life. You will be free from most demands of life, but also loose many of its conveniences and friendships. 	 					 -- 	 - 	 ++ 	 - 	 --	 + 	 -- 	 + 	 - 	 + 	 + 	 - 	 ++ 	 -- 	 -- 	 - 
10	Joining a spiritual organisation. The organisation is strongly supportive of their members. The people in the community respect and genuinely accept the group's moral values.	“-”					 ++ 	 + 	N/A	N/A	 + 	 -	 +	 + 	 - 	 + 	 -- 	 -- 	 ++ 	 + 	 +	 ++
11	Joining the army. The army develops self-discipline and camaraderie, but members must sign up for enforced obedience <br>and acceptance of unforeseen events such as death or disability.	 					 ++ 	 + 	 ++	 ++	 -	 - 	 --	 -	 +	N/A	 - 	 ++ 	 - 	 + 	 - 	 ++
12	Joining a political movement. People in the movement share common ideas of social change, but members must endorse interests of the group leadership over personal views. 	 					 ++ 	 + 	N/A	N/A	 + 	 -	 + 	 + 	 +	 + 	 - 	 + 	 + 	 + 	 - 	 +
13	Turning down the chance to go to an excellent university to avoid moving away from your partner, <br>  without knowing how long the relationship will last or what the college would be like. 	 					 +	 - 	 -- 	 +	 + 	 - 	 + 	 - 	 -- 	 - 	 + 	 + 	 + 	 - 	 + 	 -- 
14	Being the first person in your family to go away to college. You will never return to live in your hometown or see your high-school friends again.	 			“+”	“+”	 -- 	 + 	 ++ 	 +	 - 	 ++ 	 -- 	 -	 ++ 	 -- 	 ++ 	 + 	 - 	 ++ 	 + 	 + 
15	Getting a graduate degree in philosophy. You will spend 10 years of your life thinking deeply about fascinating subjects, however getting a job will be difficult.	 	“+”				N/A	 + 	 - 	N/A	N/A	 + 	 - 	 - 	 + 	 + 	 ++ 	 + 	 ++ 	 ++ 	N/A	 + 
16	Joining a new program in a good college with no way of knowing how the new program will turn out.	 	“+”				 - 	 + 	N/A	 -	 - 	 ++ 	 - 	 + 	 + 	 + 	 + 	 + 	 + 	 + 	 + 	 + 
17	Undergoing a laser eye-surgery that enables you to see in the ultraviolet spectrum. You will see natural phenomena that most people do not see. However, 20% of laser eye-surgery fails leaving the patient with an eyesight worse than they had before.	 					N/A	N/A	N/A	N/A	 + 	 ++ 	 - 	 ++ 	 + 	 + 	 + 	 - 	 + 	 ++ 	N/A	N/A
18	Leaving your community, which is highly religious. You believe you will be able to think differently and pursue your interests, but you will leave everything you know behind.	 					 -- 	 + 	 + 	N/A	 - 	 + 	 - 	 - 	 + 	 - 	 + 	 - 	 - 	 - 	 + 	 + 
19	Using a drug that makes you feel happier. The drug might have side-effects for your health or cognition that are poorly researched.	 					 +	 - 	N/A	N/A	 - 	 + 	 - 	 + 	N/A	 + 	 - 	 - 	 + 	 + 	 + 	 -- 
20	Dropping out of college because you want to make money now.	 		“-”			 -	 + 	 - 	 +	 + 	 - 	 + 	 - 	 + 	 + 	 - 	 + 	 -- 	 - 	 + 	 + 
21	Dropping out of college because you want to live in the moment and have fun.	 					 +	 - 	 + 	 -	 + 	 + 	 + 	 + 	 -- 	 + 	 -- 	 - 	 ++ 	 + 	 - 	 - 
22	Getting married to the person you love, who has very minimal employment prospects.		“+”				 + 	 - 	N/A	N/A	 + 	 - 	 ++ 	 + 	 - 	 ++ 	 - 	 - 	 + 	 + 	 + 	 - 
